name,id,recclass,mass,fall,year,reclat,reclong,point coordinates
Cynthiana,5500,L/LL4,6000.0,Fell,1877-01-01,38.4,-84.25,"[38.4, -84.25]"
Dahmani,5504,LL6,18000.0,Fell,1981-01-01,35.61667,8.83333,"[35.61667, 8.83333]"
Dandapur,5511,L6,5650.0,Fell,1878-01-01,26.91667,83.96667,"[26.91667, 83.96667]"
Daniel's Kuil,5513,EL6,1064.0,Fell,1868-01-01,-28.2,24.56667,"[-28.2, 24.56667]"
Danville,5514,L6,2000.0,Fell,1868-01-01,34.4,-87.06667,"[34.4, -87.06667]"
Darmstadt,6603,H5,100.0,Fell,1804-01-01,49.86667,8.65,"[49.86667, 8.65]"
Dashoguz,6604,H5,7000.0,Fell,1998-01-01,41.98444,59.685,"[41.98444, 59.685]"
Daule,51559,L5,6580.0,Fell,2008-01-01,-1.87089,-79.95756,"[-1.87089, -79.95756]"
De Cewsville,6621,H6,340.0,Fell,1887-01-01,43.0,-80.0,"[43.0, -80.0]"
Deal,6634,L6,28.0,Fell,1829-01-01,40.25,-74.0,"[40.25, -74.0]"
Delhi,6642,L5,0.8,Fell,1897-01-01,28.56667,77.25,"[28.56667, 77.25]"
Demina,6649,L6,16400.0,Fell,1911-01-01,51.46667,84.76667,"[51.46667, 84.76667]"
Denver,6660,L6,230.0,Fell,1967-01-01,39.7825,-104.93056,"[39.7825, -104.93056]"
Dergaon,6664,H5,12500.0,Fell,2001-01-01,26.68333,93.86667,"[26.68333, 93.86667]"
Desuri,6693,H6,25400.0,Fell,1962-01-01,25.73333,73.61667,"[25.73333, 73.61667]"
Devgaon,6694,H3.8,12000.0,Fell,2001-01-01,19.0,81.0,"[19.0, 81.0]"
Devri-Khera,6696,L6,1140.0,Fell,1994-01-01,24.225,76.525,"[24.225, 76.525]"
Dhajala,6698,H3.8,45000.0,Fell,1976-01-01,22.37778,71.42722,"[22.37778, 71.42722]"
Dharwar,6699,OC,1800.0,Fell,1848-01-01,14.88333,75.6,"[14.88333, 75.6]"
Dhurmsala,7640,LL6,32000.0,Fell,1860-01-01,32.23333,76.46667,"[32.23333, 76.46667]"
Didim,47350,H3-5,3396.0,Fell,2007-01-01,37.35172,27.32997,"[37.35172, 27.32997]"
Diep River,7642,L6,1000.0,Fell,1906-01-01,-33.75,18.56667,"[-33.75, 18.56667]"
Distrito Quebracho,7649,H4,400.0,Fell,1957-01-01,-31.88333,-60.46667,"[-31.88333, -60.46667]"
Djati-Pengilon,7652,H6,166000.0,Fell,1884-01-01,-7.5,111.5,"[-7.5, 111.5]"
Djermaia,7656,H,3950.0,Fell,1961-01-01,12.73333,15.05,"[12.73333, 15.05]"
Djoumine,7657,H5-6,10000.0,Fell,1999-01-01,36.95,9.55,"[36.95, 9.55]"
Dokachi,7658,H5,3840.0,Fell,1903-01-01,23.5,90.33333,"[23.5, 90.33333]"
Dolgovoli,7659,L6,1600.0,Fell,1864-01-01,50.75,25.3,"[50.75, 25.3]"
Domanitch,7661,L5,438.0,Fell,1907-01-01,40.0,29.0,"[40.0, 29.0]"
Dong Ujimqin Qi,7706,Mesosiderite,128800.0,Fell,1995-01-01,45.5,119.03333,"[45.5, 119.03333]"
Donga Kohrod,7707,H6,230.0,Fell,1899-01-01,21.86667,82.45,"[21.86667, 82.45]"
Dongtai,7708,LL6,5500.0,Fell,1970-01-01,32.91667,120.78333,"[32.91667, 120.78333]"
Doroninsk,7718,H5-7,3891.0,Fell,1805-01-01,51.2,112.3,"[51.2, 112.3]"
Dosso,7722,L6,1250.0,Fell,1962-01-01,13.05,3.16667,"[13.05, 3.16667]"
Douar Mghila,7723,LL6,1161.0,Fell,1932-01-01,32.33333,-6.3,"[32.33333, -6.3]"
Dowa,7725,Stone-uncl,642.0,Fell,1976-01-01,-13.66667,33.91667,"[-13.66667, 33.91667]"
Drake Creek,7728,L6,5000.0,Fell,1827-01-01,36.4,-86.5,"[36.4, -86.5]"
Dresden (Ontario),7731,H6,47700.0,Fell,1939-01-01,42.52,-82.26,"[42.52, -82.26]"
Dubrovnik,7736,L3-6,1900.0,Fell,1951-01-01,42.45833,18.44167,"[42.45833, 18.44167]"
Dunbogan,7743,L6,30.0,Fell,1999-01-01,-31.66667,152.83333,"[-31.66667, 152.83333]"
Dundrum,7745,H5,2270.0,Fell,1865-01-01,52.55,-8.03333,"[52.55, -8.03333]"
Durala,7750,L6,13200.0,Fell,1815-01-01,30.3,76.63333,"[30.3, 76.63333]"
Duruma,7752,L6,577.0,Fell,1853-01-01,-4.0,39.5,"[-4.0, 39.5]"
Duwun,7754,L6,2117.0,Fell,1943-01-01,33.43333,127.26667,"[33.43333, 127.26667]"
Dwaleni,7755,H4-6,3230.0,Fell,1970-01-01,-27.2,31.31667,"[-27.2, 31.31667]"
Dyalpur,7757,Ureilite,300.0,Fell,1872-01-01,26.25,82.0,"[26.25, 82.0]"
